ARCHIVO,CONTENIDO
m2s1p22,"Armas aseguradas por la Guardia Nacional, según tipo, durante el año 2020."
m2s1p23,"Armas aseguradas por la Guardia Nacional, según entidad federativa de ocurrencia y tipo, durante el año 2020."
m2s1p23_anexo,"Armas aseguradas por la Guardia Nacional, según municipio de ocurrencia y tipo, durante el año 2020."
m2s1p24,"Hidrocarburos asegurados por la Guardia Nacional, según tipo, durante el año 2020."
m2s1p25,"Hidrocarburos asegurados por la Guardia Nacional, según entidad federativa de ocurrencia y tipo, durante el año 2020."
m2s1p25_anexo,"Hidrocarburos asegurados por la Guardia Nacional, según municipio de ocurrencia y tipo, durante el año 2020."
m2s1p26,"Tomas clandestinas de hidrocarburos aseguradas por la Guardia Nacional, según entidad federativa de ocurrencia, durante el año 2020."
m2s1p26_anexo,"Tomas clandestinas de hidrocarburos aseguradas por la Guardia Nacional, según municipio de ocurrencia, durante el año 2020."
m2s1p27,"Volumen de narcóticos asegurado por la Guardia Nacional, según tipo de narcótico y unidad de medida, durante el año 2020."
m2s1p28,"Volumen de narcóticos asegurado por la Guardia Nacional, según entidad federativa de ocurrencia, tipo de narcótico y unidad de medida, durante el año 2020."
m2s1p28_anexo,"Volumen de narcóticos asegurado por la Guardia Nacional, según municipio de ocurrencia, tipo de narcótico y unidad de medida, durante el año 2020."
m2s1p29,"Plantíos ilícitos erradicados por la Guardia Nacional, según entidad federativa de localización y tipo de cultivo, durante el año 2020."
m2s1p29_anexo,"Plantíos ilícitos erradicados por la Guardia Nacional, según municipio de localización y tipo de cultivo, durante el año 2020."
m2s1p30,"Vehículos asegurados por la Guardia Nacional, según tipo reporte y tipo de vehículo, durante el año 2020."
m2s1p31,"Vehículos asegurados por la Guardia Nacional, según entidad federativa de ocurrencia, tipo de vehículo y tipo de reporte, durante el año 2020."
m2s1p31_anexo,"Vehículos asegurados por la Guardia Nacional, según municipio de ocurrencia, tipo de vehículo y tipo de reporte, durante el año 2020."
m2s1p32,"Mercancía apócrifa o pirata asegurada por la Guardia Nacional, según tipo, y unidad de medida, durante el año 2020."
m2s1p33,"Mercancía apócrifa o pirata asegurada por la Guardia Nacional, según entidad federativa de ocurrencia y tipo, durante el año 2020."
m2s1p33_anexo,"Mercancía apócrifa o pirata asegurada por la Guardia Nacional, según municipio de ocurrencia y tipo, durante el año 2020."
m2s1p34a,"Otros bienes asegurados (Metales) por la Guardia Nacional, según unidad de medida y tipo, durante el año 2020."
m2s1p34b,"Otros bienes asegurados (Dinero o Fauna) por la Guardia Nacional, según tipo, durante el año 2020."
m2s1p34c,"Otros bienes asegurados (Equipos de comunicación) por la Guardia Nacional, según tipo, durante el año 2020."
m2s1p35a,"Otros bienes asegurados (Metales) por la Guardia Nacional, según entidad federativa de ocurrencia, tipo y unidad de medida, durante el año 2020."
m2s1p35b,"Otros bienes asegurados (Dinero o Fauna) por la Guardia Nacional, según entidad federativa de ocurrencia y tipo, durante el año 2020."
m2s1p35c,"Otros bienes asegurados (Equipos de comunicación) por la Guardia Nacional, según entidad federativa de ocurrencia y tipo, durante el año 2020."
