mercpira_a,rensnn1,unidmedi_a,totalca1
1,1,1,1133
2,1,1,5316
3,1,8,44982
4,2,0,NA
5,2,0,NA
6,1,1,20
7,1,1,626
8,1,1,123
9,2,0,NA
10,2,0,NA
11,1,7,3985
12,1,1,506904
13,2,0,NA
14,1,1,40
15,1,1,12159
16,1,1,3024
17,1,1,591
18,1,1,737
19,1,1,243
20,1,1,1204
21,1,1,79
22,1,8,651
23,2,0,NA
24,2,0,NA
25,1,1,45875
