entidad,sexoidtt,sexoid1,sexoid2,sexoid3
"01","226","206","17","3"
"02","669","586","67","16"
"03","596","550","39","7"
"04","474","461","10","3"
"05","348","323","19","6"
"06","396","380","16","0"
"07","545","484","55","6"
"08","1042","983","48","11"
"09","832","694","121","17"
"10","345","333","10","2"
"11","1580","1521","46","13"
"12","958","903","44","11"
"13","374","354","17","3"
"14","1012","964","32","16"
"15","2270","2145","100","25"
"16","566","550","15","1"
"17","387","372","8","7"
"18","296","283","12","1"
"19","454","412","40","2"
"20","481","458","19","4"
"21","655","612","37","6"
"22","398","366","14","18"
"23","1349","1262","82","5"
"24","751","723","22","6"
"25","495","458","32","5"
"26","1469","1356","80","33"
"27","287","259","27","1"
"28","558","516","40","2"
"29","134","122","6","6"
"30","1032","989","38","5"
"31","168","157","7","4"
"32","555","532","18","5"
"99","","","",""
