entidad,cmanar1,cmanar2,cmanar3,cmanar4,cmanar5,cmanar6,cmanar8,cmanar9,cmanar10,cmanar11,cmanar12,cmanar13,cmanar14
"01","12.502","6.809","6.809","0","0","0","0","0","0","0","0","0","0"
"02","311.611","3.896","3.896","0","0","0","49.532","0","0",".596","0","41.202","7.734"
"03","1.432","111.779","111.772","0",".005",".002","1.992","0","0","0","0","0","1.992"
"04","5.19","1576.261","1567.961","0","0","8.3","0","0","0","0","0","0","0"
"05","12.06","0","0","0","0","0","0","0","0","0","0","0","0"
"06",".002","10592.82","10535.198","0","1.077","56.545",".08","0","0","0","0",".08","0"
"07","49.801","796.917","796.917","0","0","0","0","0","0","0","0","0","0"
"08",".072","222.396","222.396","0","0","0","17.639","0","0","7.85","0","9.789","0"
"09","353.315","1.478","1.478","0","0","0","13.577","0","0","1.5","0","12.077","0"
"10","0","378.335","378.335","0","0","0","1","0","0","1","0","0","0"
"11","23.689","8028.662","8028.662","0","0","0","0","0","0","0","0","0","0"
"12","6.771","3759.715","3758.733","0",".382",".6","59.88","0","23.6","35.13","0","1.15","0"
"13","0","263.835","263.782","0",".053","0","0","0","0","0","0","0","0"
"14","54.648","239.851","239.551","0",".3","0",".808","0","0","0","0",".808","0"
"15","30.253","761.74","761.59","0",".15","0","0","0","0","0","0","0","0"
"16",".003","241.138","241.133","0","0",".005","0","0","0","0","0","0","0"
"17",".015","75.928","75.928","0","0","0","0","0","0","0","0","0","0"
"18",".437","2689.62","2688.261","0",".659",".7","23.88","0","2.375","21.505","0","0","0"
"19","27.275","13888.806","13888.771","0","0",".035",".003","0","0","0","0",".003","0"
"20","21.181","104.069","104.069","0","0","0",".037","0","0",".002","0",".035","0"
"21",".009","603.407","603.407","0","0","0","0","0","0","0","0","0","0"
"22","7.761",".472",".472","0","0","0",".54","0","0","0","0",".54","0"
"23","1400.869","26.82","26.505","0",".315","0","2.5","0","0","0","0","2.5","0"
"24","20.415","1356.924","1356.919","0",".005","0","33.089","0","1.4","1.006","0","30.683","0"
"25","10.253","804.133","804.133","0","0","0","9.87","0","0","9.87","0","0","0"
"26","77.322","6420.56","6420.56","0","0","0","27.036","0","0","2.46","0","24.576","0"
"27","1.16","697.54","697.54","0","0","0","0","0","0","0","0","0","0"
"28","17.424","9870.872","9870.872","0","0","0","0","0","0","0","0","0","0"
"29",".023","4.38","3.96","0","0",".42","0","0","0","0","0","0","0"
"30",".106","66.763","66.763","0","0","0","0","0","0","0","0","0","0"
"31",".064","2578.48","2571.48","0","0","7","0","0","0","0","0","0","0"
"32","19.94","638.555","635.575","0","2.26",".72","14.182","0","0","0","0","14.182","0"
"99","","","","","","","","","","","","",""
