entidad,hidroc1,hidroc2,hidroc3,hidroc4,hidroc5
"01","43050","0","38450","41600","48180"
"02","88201","50663","91480","0","12680"
"03","0","0","0","0","0"
"04","124200","0","39200","0","70000"
"05","233120","67040","2000","0","30400"
"06","35600","0","0","0","60070"
"07","63000","0","20050","0","1280"
"08","452040","445234","0","0","273067"
"09","82000","34887","2600","0","6545"
"10","87004","0","0","0","55000"
"11","1068516.25","607760","1155577.932","305110","2554800.1"
"12","1200","32000","0","0","7000"
"13","26000","223501.5","205575","0","153619"
"14","220757","1153229","0","27500","1479978.5"
"15","551757.2","400721.4","370213","43000","586708.808"
"16","40180","213497","0","53863","135735"
"17","32280","57700","22326","0","137960"
"18","499","31352","11000","0","276838.99"
"19","1295309.06","201819","0","0","326650"
"20","200","114628","9000","0","43960"
"21","688439.8","721657.9","345190","0","436930.6"
"22","268510","28080","39630","93000","156655"
"23","1630","0","0","0","63132"
"24","264235","79355","0","0","42000"
"25","51070","72831.5","9500","41100","130893"
"26","108135.4","250913.6","18000","0","122246.2"
"27","61927","255309","20499","0","1051663"
"28","246000","499330.7","0","0","703185.061186"
"29","111183","81625","229800","0","77455.5"
"30","248900","399190","106705","0","461775"
"31","1040","12325","0","37650","0"
"32","16700","0","41049","0","440"
"99","","","","",""
