entidad,lmpnar1,lmpnar2,lmpnar3,lmpnar4,lmpnar5,lmpnar6
"01","0","0","0","0","0","176"
"02","0","0","0","2886.712","299","60614"
"03","0","0","0","322.714","0","31"
"04","0","0","0","0","0","0"
"05","0","0","0","201.48","0","0"
"06","0","0","0","0","0","5"
"07","0","0","0","0","0","0"
"08","0","0","0","64","0","177"
"09",".015","0","0","40.94","281","0"
"10","0","0","0","0","0","0"
"11","0","0","0","0","53","465"
"12","0","0","0","0","0","145"
"13","0","0","0","0","0","130"
"14","0","0","0","12.404","323","559"
"15","0","0","0",".42","0","13"
"16","0","0","0","4.955","0","14754"
"17","0","0","0","0","3","34"
"18","0","0","0","0","0","0"
"19","0","0","0","31.292","0","3"
"20","0","0","0","0","0","0"
"21","0","0","0",".003","0","91"
"22","0","0","0",".061","4","2966"
"23","0","0","0","4.593","0","1230"
"24","0","0","0","3.948","0","9543"
"25","0","0","0","75.498","965","11826"
"26","0","0","0","538.652","0","27"
"27","0","0","0","0","0","0"
"28","0","0","0","511.854","0","2"
"29","0","0","0","0","0","11"
"30","0","0","0","0","0","1878"
"31","0","0","0","0","1912","9075"
"32","0","0","0",".5","0","4"
"99","","","","","",""
