entidad,autorntt,autorn1,autorn2,autorn3,autorn4,autorn5,autorn6,autorn7
"01","6","0","0","5","1","0","0","0"
"02","33","1","1","5","25","1","0","0"
"03","4","0","0","0","1","2","0","1"
"04","3","0","0","1","2","0","0","0"
"05","1","0","0","0","0","0","0","1"
"06","11","0","0","2","6","3","0","0"
"07","4","1","1","0","0","0","0","2"
"08","21","2","0","12","4","0","0","3"
"09","64","0","0","63","0","0","0","1"
"10","0","0","0","0","0","0","0","0"
"11","46","1","2","1","32","0","0","10"
"12","13","0","0","5","6","2","0","0"
"13","4","0","1","0","2","0","0","1"
"14","44","0","0","36","6","0","0","2"
"15","26","1","1","14","3","0","0","7"
"16","5","0","0","1","4","0","0","0"
"17","3","0","0","2","1","0","0","0"
"18","2","0","0","0","0","0","0","2"
"19","5","0","0","1","0","0","2","2"
"20","3","0","0","0","2","0","0","1"
"21","42","1","1","16","23","0","0","1"
"22","1","0","0","1","0","0","0","0"
"23","6","0","0","2","2","1","1","0"
"24","1","0","0","0","1","0","0","0"
"25","3","0","0","1","1","0","0","1"
"26","42","0","1","2","39","0","0","0"
"27","12","0","0","1","11","0","0","0"
"28","22","4","2","2","6","2","0","6"
"29","4","1","0","3","0","0","0","0"
"30","23","2","0","1","15","4","0","1"
"31","5","1","0","2","1","1","0","0"
"32","2","0","0","0","1","0","0","1"
