entidad_a,equcomtt,equcom1,equcom2,equcom3
1,6,4,2,0
2,909,873,1,35
3,3,3,0,0
4,1,1,0,0
5,32,31,1,0
6,17,17,0,0
7,12,12,0,0
8,9,9,0,0
9,8,6,0,2
10,6,6,0,0
11,48,35,11,2
12,4,4,0,0
13,37,27,10,0
14,46,23,23,0
15,387,363,19,5
16,20,13,7,0
17,8,7,1,0
18,24,17,1,6
19,28,4,1,23
20,73,70,3,0
21,89,58,28,3
22,30,22,8,0
23,11,10,0,1
24,50,46,3,1
25,23,23,0,0
26,26,23,0,3
27,12,12,0,0
28,16,12,0,4
29,28,15,13,0
30,56,50,4,2
31,7,4,3,0
32,9,8,0,1
99,,,,
