entidad_c,entifed1,ubicageo_d,municip1,narcum1,narcum2,narcum3,narcum4,narcum5,narcum6,narcum8,narcum9,narcum10,narcum11,narcum12,narcum13,narcum15,narcum16,narcum17,narcum18,narcum19,narcum20,narcum21,narcum22,narcum23,narcum24
5,COAHUILA,5033,SAN PEDRO COA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA,5035,TORREON COA,0,.652,.65,.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5001,ABASOLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5002,ACUÑA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5003,ALLENDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5005,CANDELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5007,CUATRO CIENEGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5009,FRANCISCO I MADERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5011,GENERAL CEPEDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5012,GUERRERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5013,HIDALGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5014,JIMENEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5015,JUAREZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5016,LAMADRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5017,MATAMOROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5019,MORELOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5020,MUZQUIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5021,NADADORES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5022,NAVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5023,OCAMPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5024,PARRAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5025,PIEDRAS NEGRAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5026,PROGRESO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5028,SABINAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5029,SACRAMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5031,SAN BUENAVENTURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5032,SAN JUAN DE SABINAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5034,SIERRA MOJADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5036,VIESCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5037,VILLA UNION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5038,ZARAGOZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COAHUILA DE ZARAGOZA,5997,NO ESPECIFICADO,,,,,,,,,,,,,,,,,,,,,,
6,COLIMA,6001,ARMERIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,COLIMA,6002,COLIMA COL,0,31.335,31.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,COLIMA,6003,COMALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
