entidad,totalca1
"01","73"
"02","1718"
"03","52"
"04","100"
"05","46"
"06","1532"
"07","509"
"08","599"
"09","0"
"10","806"
"11","1255"
"12","811"
"13","894"
"14","833"
"15","1633"
"16","1441"
"17","566"
"18","86"
"19","846"
"20","228"
"21","2107"
"22","410"
"23","373"
"24","216"
"25","859"
"26","2092"
"27","44"
"28","1181"
"29","57"
"30","495"
"31","196"
"32","1016"
"99",""
