entidad,vehrobtt,vehrob1,vehrob2,vehrob3,vehrob4,vehrob5,vehrob6,vehrob7,vehrob8
"01","138","75","63","75","63","0","0","0","0"
"02","868","654","214","654","206","0","6","0","2"
"03","390","98","292","98","292","0","0","0","0"
"04","297","72","225","72","223","0","1","0","1"
"05","325","62","263","62","263","0","0","0","0"
"06","222","124","98","124","98","0","0","0","0"
"07","433","175","258","175","256","0","2","0","0"
"08","802","140","662","140","661","0","1","0","0"
"09","1631","1429","202","1429","202","0","0","0","0"
"10","271","96","175","96","174","0","1","0","0"
"11","3716","1843","1873","1843","1871","0","2","0","0"
"12","1311","671","640","671","640","0","0","0","0"
"13","630","354","276","354","276","0","0","0","0"
"14","2381","1279","1102","1279","1100","0","2","0","0"
"15","4046","2473","1573","2473","1554","0","19","0","0"
"16","1371","796","575","796","573","0","2","0","0"
"17","354","193","161","193","161","0","0","0","0"
"18","560","131","429","131","429","0","0","0","0"
"19","446","198","248","198","248","0","0","0","0"
"20","609","182","427","182","427","0","0","0","0"
"21","2024","1167","857","1167","857","0","0","0","0"
"22","664","390","274","390","274","0","0","0","0"
"23","460","286","174","286","170","0","0","0","4"
"24","881","361","520","358","519","0","1","3","0"
"25","1627","701","926","701","924","0","0","0","2"
"26","963","432","531","432","531","0","0","0","0"
"27","711","459","252","459","251","0","0","0","1"
"28","1363","632","731","632","731","0","0","0","0"
"29","718","474","244","474","243","0","1","0","0"
"30","3600","1989","1611","1989","1610","0","1","0","0"
"31","183","94","89","94","89","0","0","0","0"
"32","791","305","486","305","485","0","1","0","0"
"99","","","","","","","","",""
