edad_ran,sexoidtt,sexoid1,sexoid2,sexoid3
1,"33","29","4","0"
2,"334","313","21","0"
3,"489","464","25","0"
4,"1620","1500","117","3"
5,"1437","1331","105","1"
6,"1248","1186","62","0"
7,"870","811","57","2"
8,"645","605","37","3"
9,"444","411","33","0"
10,"295","267","28","0"
11,"136","122","14","0"
12,"124","106","18","0"
13,"12124","11331","552","241"
99,"","","",""
