entidad,armexp1,armexp2,armexp3,armexp5,armexp6,armexp7,armexp8
"01","7","1","6","0","0","1479","12"
"02","79","19","60","0","1","1607","85"
"03","46","12","34","0","0","1255","60"
"04","11","5","6","0","0","125","6"
"05","9","3","6","0","0","2069","9"
"06","6","1","5","0","0","58","7"
"07","20","3","17","0","1","216","17"
"08","23","3","20","0","2","2743","25"
"09","110","10","100","3","0","19352","211"
"10","9","2","7","0","0","216","10"
"11","172","41","131","0","3","22817","205"
"12","171","46","125","0","4","11580","404"
"13","29","2","27","0","1","849","33"
"14","61","11","50","0","5","4078","140"
"15","223","27","196","0","2","10232","164"
"16","96","19","77","7","0","3321","163"
"17","17","4","13","0","4","536","12"
"18","46","24","22","1","4","2737","86"
"19","66","21","45","0","0","17681","118"
"20","27","9","18","0","0","273","15"
"21","113","26","87","0","1","1630","89"
"22","31","4","27","0","0","7500","29"
"23","69","19","50","0","0","2746","95"
"24","63","13","50","0","0","4260","52"
"25","110","62","48","0","7","14182","279"
"26","193","110","83","0","5","80299","644"
"27","65","8","57","0","0","1026","49"
"28","141","99","42","0","1","29042","516"
"29","32","6","26","0","0","440","25"
"30","126","25","101","0","1","10264","176"
"31","42","41","1","0","0","252","0"
"32","67","25","42","0","1","2084","89"
"99","","","","","","",""
