numeral,enticve1,entifed1,ubicageo_e,municip1,fasegu1,fasegu2,fasegu3,fasegu4,fasegu5,fasegu6,fasegu7,fasegu8,fasegu9,fasegu10,fasegu11,fasegu12,fasegu13,fasegu14,fasegu15,fasegu16,fasegu17,fasegu18,fasegu19,fasegu20,fasegu21,fasegu22,fasegu23,fasegu24,fasegu25,fasegu26,fasegu27,fasegu28,fasegu29,fasegu30,fasegu31,fasegu32,fasegu33,fasegu34,fasegu35,fasegu36,fasegu37,fasegu38,fasegu39,fasegu40,fasegu41,fasegu42,fasegu43,fasegu44,fasegu45,fasegu46,fasegu47,fasegu48,fasegu49,fasegu50,fasegu51,fasegu52,fasegu53,fasegu54,fasegu55,fasegu56,fasegu57,fasegu58,fasegu59,fasegu60,fasegu61,fasegu62,fasegu63,fasegu64,fasegu65,fasegu66,fasegu67,fasegu68,fasegu69,fasegu70,fasegu71,fasegu72,fasegu73,fasegu74,fasegu75,fasegu76,fasegu77,fasegu78,fasegu79,fasegu80,fasegu81,fasegu82,fasegu83,fasegu84,fasegu85,fasegu86,fasegu87,fasegu88,fasegu89,fasegu90,fasegu91
31,04,CAMPECHE,4008,TENABO,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
32,04,CAMPECHE,4009,ESCARCEGA,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
33,04,CAMPECHE,4010,CALAKMUL,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
34,04,CAMPECHE,4011,CANDELARIA,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
35,04,CAMPECHE,4012,SEYBAPLAYA,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
36,04,CAMPECHE,4013,DZITBALCHE,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
37,05,COAHUILA DE ZARAGOZA,5001,ABASOLO,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
38,05,COAHUILA DE ZARAGOZA,5002,ACUÑA,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
39,05,COAHUILA DE ZARAGOZA,5003,ALLENDE,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
40,05,COAHUILA DE ZARAGOZA,5004,ARTEAGA,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
