numeral,enticve1,entifed1,ubicageo_e,municip1,fasegu1,fasegu2,fasegu3,fasegu4,fasegu5,fasegu6,fasegu7,fasegu8,fasegu9,fasegu10,fasegu11,fasegu12,fasegu13,fasegu14,fasegu15,fasegu16,fasegu17,fasegu18,fasegu19,fasegu20,fasegu21,fasegu22,fasegu23,fasegu24,fasegu25,fasegu26,fasegu27,fasegu28,fasegu29,fasegu30,fasegu31,fasegu32,fasegu33,fasegu34,fasegu35,fasegu36,fasegu37,fasegu38,fasegu39,fasegu40,fasegu41,fasegu42,fasegu43,fasegu44,fasegu45,fasegu46,fasegu47,fasegu48,fasegu49,fasegu50,fasegu51,fasegu52,fasegu53,fasegu54,fasegu55,fasegu56,fasegu57,fasegu58,fasegu59,fasegu60,fasegu61,fasegu62,fasegu63,fasegu64,fasegu65,fasegu66,fasegu67,fasegu68,fasegu69,fasegu70,fasegu71,fasegu72,fasegu73,fasegu74,fasegu75,fasegu76,fasegu77,fasegu78,fasegu79,fasegu80,fasegu81,fasegu82,fasegu83,fasegu84,fasegu85,fasegu86,fasegu87,fasegu88,fasegu89,fasegu90,fasegu91
11,01,AGUASCALIENTES,1011,SAN FRANCISCO DE LOS ROMO,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
12,02,BAJA CALIFORNIA,2001,ENSENADA,NA,0,NA,NA,NA,0,0,0,1,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
13,02,BAJA CALIFORNIA,2002,MEXICALI,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
14,02,BAJA CALIFORNIA,2003,TECATE,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
15,02,BAJA CALIFORNIA,2004,TIJUANA,NA,0,NA,NA,NA,0,0,0,2,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
16,02,BAJA CALIFORNIA,2005,PLAYAS DE ROSARITO,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
17,02,BAJA CALIFORNIA,2006,SAN QUINTIN,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
18,02,BAJA CALIFORNIA,2007,SAN FELIPE,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
19,03,BAJA CALIFORNIA SUR,3001,COMONDU,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
20,03,BAJA CALIFORNIA SUR,3002,MULEGE,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
21,03,BAJA CALIFORNIA SUR,3003,LA PAZ,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,15,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
22,03,BAJA CALIFORNIA SUR,3008,LOS CABOS,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
23,03,BAJA CALIFORNIA SUR,3009,LORETO,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
24,04,CAMPECHE,4001,CALKINI,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
25,04,CAMPECHE,4002,CAMPECHE,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
26,04,CAMPECHE,4003,CARMEN,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
27,04,CAMPECHE,4004,CHAMPOTON,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
28,04,CAMPECHE,4005,HECELCHAKAN,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
29,04,CAMPECHE,4006,HOPELCHEN,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
30,04,CAMPECHE,4007,PALIZADA,NA,0,NA,NA,NA,0,0,0,0,0,NA,4,NA,NA,NA,NSS,0,0,0,NA,0,0,0,0,0,0,NSS,NSS,NA,NSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS,0,NA,NA,NA,0,NA,NA,NA,NSS,NSS,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSS
