COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
equcomtt,Total,SECC I 1.34,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
equcom1,Celulares,SECC I 1.34,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
equcom2,Antenas,SECC I 1.34,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
equcom3,Equipos de radiocomunicación,SECC I 1.34,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
