COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
entidad_e,Entidad federativa,SECC IV. 22,Numérico,2,1 al 99
dinero1,Nacional (peso mexicano),SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero2,Extranjero - Corona checa,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero3,Extranjero - Dinar kuwaití,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero4,Extranjero - Dólar canadiense,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero5,Extranjero - Dólar estadounidense,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero6,Extranjero - Dólar hongkonés,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero7,Extranjero - Euro,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero8,Extranjero - Grivna o hryvna,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero9,Extranjero - Lempira,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero10,Extranjero - Libra esterlina,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero11,Extranjero - Peso argentino,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero12,Extranjero - Peso colombiano,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero13,Extranjero - Peso cubano,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero14,Extranjero - Quetzal,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero15,Extranjero - Real,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero16,Extranjero - Rial iraní,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero17,"Extranjero - Shékel, sékel o shéquel",SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero18,Extranjero - Sol,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero19,Extranjero - Won surcoreano,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero20,Extranjero - Yen,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
dinero21,Extranjero - Yuan,SECC IV. 22,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
