COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
numeral,Identificador o numeral del orden que guarda cada registro capturado dentro de la lista,SECC IV. 28,Carácter,4,0-5000
enticve1,Clave de Entidad federativa,SECC IV. 28,Carácter,2500,
entifed1,Nombre de Entidad federativa,SECC IV. 28,Carácter,2500,
municve1,Clave de Municipio o demarcación territorial,SECC IV. 28,Carácter,2500,
municip1,Nombre de Municipio o demarcación territorial,SECC IV. 28,Carácter,2500,
umfau1,"Vertebrados - Mamíferos - Caninos (lobos, zorros, coyotes) - Ejemplares o unidades",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau2,"Vertebrados - Mamíferos - Caninos (lobos, zorros, coyotes) - Kilogramos",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau3,"Vertebrados - Mamíferos - Caninos (lobos, zorros, coyotes) - Otra unidad de medida",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau4,"Vertebrados - Mamíferos - Felinos (leones, tigres, jaguares, pumas, ocelotes, linces) - Ejemplares o unidades",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau5,"Vertebrados - Mamíferos - Felinos (leones, tigres, jaguares, pumas, ocelotes, linces) - Kilogramos",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau6,"Vertebrados - Mamíferos - Felinos (leones, tigres, jaguares, pumas, ocelotes, linces) - Otra unidad de medida",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau7,"Vertebrados - Mamíferos - Liebres, conejos, teporingos - Ejemplares o unidades",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau8,"Vertebrados - Mamíferos - Liebres, conejos, teporingos - Kilogramos",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau9,"Vertebrados - Mamíferos - Liebres, conejos, teporingos - Otra unidad de medida",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau10,"Vertebrados - Mamíferos - Marinos (delfines, manatís, ballenas, vaquitas, focas) - Ejemplares o unidades",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau11,"Vertebrados - Mamíferos - Marinos (delfines, manatís, ballenas, vaquitas, focas) - Kilogramos",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau12,"Vertebrados - Mamíferos - Marinos (delfines, manatís, ballenas, vaquitas, focas) - Otra unidad de medida",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau13,Vertebrados - Mamíferos - Osos - Ejemplares o unidades,SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau14,Vertebrados - Mamíferos - Osos - Kilogramos,SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau15,Vertebrados - Mamíferos - Osos - Otra unidad de medida,SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau16,"Vertebrados - Mamíferos - Pequeños mamíferos (tlacuaches, erizos, coatis, mapaches) - Ejemplares o unidades",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau17,"Vertebrados - Mamíferos - Pequeños mamíferos (tlacuaches, erizos, coatis, mapaches) - Kilogramos",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau18,"Vertebrados - Mamíferos - Pequeños mamíferos (tlacuaches, erizos, coatis, mapaches) - Otra unidad de medida",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau19,"Vertebrados - Mamíferos - Perezosos, hormigueros, armadillos - Ejemplares o unidades",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau20,"Vertebrados - Mamíferos - Perezosos, hormigueros, armadillos - Kilogramos",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau21,"Vertebrados - Mamíferos - Perezosos, hormigueros, armadillos - Otra unidad de medida",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau22,"Vertebrados - Mamíferos - Primates (chimpancés, monos, mandriles) - Ejemplares o unidades",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau23,"Vertebrados - Mamíferos - Primates (chimpancés, monos, mandriles) - Kilogramos",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau24,"Vertebrados - Mamíferos - Primates (chimpancés, monos, mandriles) - Otra unidad de medida",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umfau25,"Vertebrados - Mamíferos - Rumiantes (venados, bisontes, borregos) - Ejemplares o unidades",SECC IV. 28,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
