entidad_e,dinero1,dinero2,dinero3,dinero4,dinero5,dinero6,dinero7,dinero8,dinero9,dinero10,dinero11,dinero12,dinero13,dinero14,dinero15,dinero16,dinero17,dinero18,dinero19,dinero20,dinero21
1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1103900,0,0,0,771924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,580990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,74940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,964701,0,0,0,84725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5195,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,307790,0,0,0,111010,0,8000,0,0,0,0,62000,0,0,0,0,0,0,0,0,0
10,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,15707,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,290070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,769416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,254140,0,0,0,9880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2950285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,681520,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,131760,0,0,0,91944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,226940,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,460010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,43840,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,27160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2747,0,0,0,39619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,307200,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,5970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1654863,0,0,0,78716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,207256,0,0,0,3555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,392000,0,0,0,30020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,116165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,,,,,,,,,,,,,,,,,,,,,
